run_seed,model,split,event,near_best_distractor,other_distractor,selectivity_vs_near_best_distractor,selectivity_vs_other_distractor
484324222,qslstm,test,0.16709898228711223,0.09350932712740594,0.09031945081597734,0.0735896551597063,0.0767795314711349
867702092,qlstm,extrapolation,0.13732045553381952,0.08789955607854902,0.09710454321254039,0.049420899455270506,0.040215912321279135
867702092,qlstm,test,0.14689047216331655,0.10208488940443128,0.10514919267188219,0.04480558275888527,0.04174127949143436
867702092,qslstm,extrapolation,0.17175798132252973,0.07876677016196451,0.05517050278007046,0.09299121116056522,0.11658747854245927
867702092,qslstm,test,0.20396860206278758,0.1369879875005404,0.08827288856410678,0.06698061456224719,0.1156957134986808
975428833,qlstm,extrapolation,0.13060521099296843,0.10662723169553175,0.11515446816269233,0.023977979297436683,0.015450742830276101
975428833,qlstm,test,0.13550022534621814,0.10919204358680855,0.11881041416952744,0.02630818175940959,0.016689811176690703
975428833,qslstm,extrapolation,0.17695770166501518,0.10332958221254686,0.09827667845716498,0.07362811945246832,0.0786810232078502
975428833,qslstm,test,0.20433837835011434,0.13587162447064258,0.12515361396155422,0.06846675387947176,0.07918476438856012
1023290587,qlstm,extrapolation,0.12018047355773868,0.09028035179483457,0.10229211681842658,0.029900121762904117,0.017888356739312106
1023290587,qlstm,test,0.11936014089429657,0.09505527036139026,0.10660987401479707,0.02430487053290631,0.012750266879499497
1023290587,qslstm,extrapolation,0.18316747538933473,0.06799195355253641,0.05474010152442514,0.11517552183679831,0.1284273738649096
1023290587,qslstm,test,0.21349544686649732,0.11763052619796399,0.08782468387397382,0.09586492066853333,0.1256707629925235
1106723791,qlstm,extrapolation,0.10851166291879746,0.08166952403765325,0.09196696396005986,0.026842138881144215,0.0165446989587376
1106723791,qlstm,test,0.115569284150183,0.09016012009043264,0.095844520871889,0.025409164059750355,0.019724763278294005
1106723791,qslstm,extrapolation,0.17081282000391282,0.05904226746118042,0.047971410060300375,0.1117705525427324,0.12284140994361245
1106723791,qslstm,test,0.20864707602611748,0.09259269108837996,0.0765859256455728,0.11605438493773752,0.13206115038054467
1148376891,qlstm,extrapolation,0.1204650762255276,0.0779785807159398,0.08456954391269303,0.0424864955095878,0.03589553231283457
1148376891,qlstm,test,0.13114158388406838,0.09175233282760982,0.09303213926649621,0.03938925105645856,0.038109444617572166
1148376891,qslstm,extrapolation,0.21150224951056715,0.09437780332082901,0.060316585690277605,0.11712444618973814,0.15118566382028953
1148376891,qslstm,test,0.24418525322604273,0.1361311161276406,0.08454703325344223,0.10805413709840214,0.1596382199726005
1211904294,qlstm,extrapolation,0.1269729611384184,0.09566578689999528,0.11034034375438882,0.031307174238423136,0.016632617384029588
1211904294,qlstm,test,0.13648464149418496,0.10229843697540823,0.11338158424171539,0.03418620451877673,0.02310305725246957
