run_seed,model,split,kind,n_steps,pull,write_k
484324222,qlstm,test,other_distractor,22543,0.028870497201797633,0.11407843011750958
484324222,qslstm,extrapolation,event,672,0.043373364955186844,0.14341366860973975
484324222,qslstm,extrapolation,near_best_distractor,2288,0.015135479947695365,0.06520854321503189
484324222,qslstm,extrapolation,other_distractor,12290,0.016755777854469366,0.06775326350902963
484324222,qslstm,test,event,2091,0.05108455979385084,0.16709898228711223
484324222,qslstm,test,near_best_distractor,4366,0.02179249174008935,0.09350932712740594
484324222,qslstm,test,other_distractor,22543,0.022768439593582913,0.09031945081597734
867702092,qlstm,extrapolation,event,674,0.03989574215886147,0.13732045553381952
867702092,qlstm,extrapolation,near_best_distractor,2308,0.019291083878826228,0.08789955607854902
867702092,qlstm,extrapolation,other_distractor,12268,0.023474278082123087,0.09710454321254039
867702092,qlstm,test,event,2044,0.043682140409363225,0.14689047216331655
867702092,qlstm,test,near_best_distractor,4352,0.024041994509068045,0.10208488940443128
867702092,qlstm,test,other_distractor,22604,0.02581715309826637,0.10514919267188219
867702092,qslstm,extrapolation,event,674,0.051759858425010206,0.17175798132252973
867702092,qslstm,extrapolation,near_best_distractor,2308,0.016863156697572414,0.07876677016196451
867702092,qslstm,extrapolation,other_distractor,12268,0.01389757151717583,0.05517050278007046
867702092,qslstm,test,event,2044,0.0639225061683972,0.20396860206278758
867702092,qslstm,test,near_best_distractor,4352,0.030069998068296733,0.1369879875005404
867702092,qslstm,test,other_distractor,22604,0.022558219511990756,0.08827288856410678
975428833,qlstm,extrapolation,event,716,0.038611432443783934,0.13060521099296843
975428833,qlstm,extrapolation,near_best_distractor,2243,0.02449307424970041,0.10662723169553175
975428833,qlstm,extrapolation,other_distractor,12291,0.02900278077503031,0.11515446816269233
975428833,qlstm,test,event,2059,0.040682015878127115,0.13550022534621814
975428833,qlstm,test,near_best_distractor,4349,0.025434919213886836,0.10919204358680855
975428833,qlstm,test,other_distractor,22592,0.029760377306132325,0.11881041416952744
975428833,qslstm,extrapolation,event,716,0.052089400339725964,0.17695770166501518
975428833,qslstm,extrapolation,near_best_distractor,2243,0.022644573484634216,0.10332958221254686
975428833,qslstm,extrapolation,other_distractor,12291,0.0245033294003699,0.09827667845716498
975428833,qslstm,test,event,2059,0.0624950652043758,0.20433837835011434
975428833,qslstm,test,near_best_distractor,4349,0.03026571765689363,0.13587162447064258
975428833,qslstm,test,other_distractor,22592,0.031386161878673366,0.12515361396155422
1023290587,qlstm,extrapolation,event,680,0.035563136593383914,0.12018047355773868
1023290587,qlstm,extrapolation,near_best_distractor,2269,0.02129326327985055,0.09028035179483457
1023290587,qlstm,extrapolation,other_distractor,12301,0.025420852344061884,0.10229211681842658
1023290587,qlstm,test,event,2076,0.03511188545323521,0.11936014089429657
1023290587,qlstm,test,near_best_distractor,4279,0.022500280222064788,0.09505527036139026
1023290587,qlstm,test,other_distractor,22645,0.02625783345219736,0.10660987401479707
1023290587,qslstm,extrapolation,event,680,0.0564631387591362,0.18316747538933473
1023290587,qslstm,extrapolation,near_best_distractor,2269,0.015019893869527798,0.06799195355253641
1023290587,qslstm,extrapolation,other_distractor,12301,0.01363479537010658,0.05474010152442514
1023290587,qslstm,test,event,2076,0.06653660301815338,0.21349544686649732
1023290587,qslstm,test,near_best_distractor,4279,0.02499568669225992,0.11763052619796399
1023290587,qslstm,test,other_distractor,22645,0.022358762925101264,0.08782468387397382
1106723791,qlstm,extrapolation,event,679,0.032609080925956914,0.10851166291879746
1106723791,qlstm,extrapolation,near_best_distractor,2246,0.017696730799156964,0.08166952403765325
1106723791,qlstm,extrapolation,other_distractor,12325,0.02297787217774691,0.09196696396005986
1106723791,qlstm,test,event,2072,0.03477854924600097,0.115569284150183
1106723791,qlstm,test,near_best_distractor,4332,0.020923920622437725,0.09016012009043264
1106723791,qlstm,test,other_distractor,22596,0.023974483420224627,0.095844520871889
1106723791,qslstm,extrapolation,event,679,0.05129573793755364,0.17081282000391282
1106723791,qslstm,extrapolation,near_best_distractor,2246,0.012017067385802604,0.05904226746118042
1106723791,qslstm,extrapolation,other_distractor,12325,0.011949272606725866,0.047971410060300375
1106723791,qslstm,test,event,2072,0.06511845564807704,0.20864707602611748
1106723791,qslstm,test,near_best_distractor,4332,0.020678736984949913,0.09259269108837996
1106723791,qslstm,test,other_distractor,22596,0.019360120891786126,0.0765859256455728
1148376891,qlstm,extrapolation,event,637,0.035924631020337855,0.1204650762255276
1148376891,qlstm,extrapolation,near_best_distractor,2280,0.016894129598349857,0.0779785807159398
1148376891,qlstm,extrapolation,other_distractor,12333,0.020111637376505585,0.08456954391269303
1148376891,qlstm,test,event,2123,0.039029453632352044,0.13114158388406838
1148376891,qlstm,test,near_best_distractor,4330,0.02115387012859415,0.09175233282760982
1148376891,qlstm,test,other_distractor,22547,0.022486607384807535,0.09303213926649621
1148376891,qslstm,extrapolation,event,637,0.06679318164543978,0.21150224951056715
1148376891,qslstm,extrapolation,near_best_distractor,2280,0.018428663726438557,0.09437780332082901
1148376891,qslstm,extrapolation,other_distractor,12333,0.015705466458931425,0.060316585690277605
1148376891,qslstm,test,event,2123,0.07925298421157176,0.24418525322604273
1148376891,qslstm,test,near_best_distractor,4330,0.029151147700347196,0.1361311161276406
1148376891,qslstm,test,other_distractor,22547,0.022429702542026635,0.08454703325344223
1211904294,qlstm,extrapolation,event,669,0.03723855069399949,0.1269729611384184
1211904294,qlstm,extrapolation,near_best_distractor,2290,0.021920501196748824,0.09566578689999528
1211904294,qlstm,extrapolation,other_distractor,12291,0.02761512270257739,0.11034034375438882
